product_id,score,element_name,name,price,case_power_standard,case_mainboard_standard,gpu_length_mm,cpu_cooler_height_mm,price_stc
7198756904,0.7223943441,case,커세어 Obsidian 750D,228000,ATX,EATX,450,170,0.9364085085
7969806529,0.7199347473,case,커세어 Graphite 780T,304990,ATX,EATX,355,200,1.551295373
8582586493,0.6255618393,case,프렉탈디자인 NODE 304,126000,ATX,MITX,310,165,0.1217772559
8678265379,0.7262764357,case,3RSYS T200 발키리 NT PWM,115000,ATX,ATX,430,172,0.03392486594
8985845843,0.3067444303,case,브라보텍 스텔스 EX270,59000,ATX,MITX,325,165,-0.4133236649
9035063024,0.4744969769,case,커세어 Obsidian 750D Airflow,228000,ATX,EATX,450,170,0.9364085085
9114860802,0.5165331605,case,마이크로닉스 루키 USB3.0,21000,ATX,MITX,340,156,-0.7168137394
9135203995,0.4543037471,case,데이븐 스텔라 미니,14500,ATX,MITX,290,155,-0.7687265153
9213947091,0.3031985867,case,브라보텍 DEFY B40,39000,ATX,MITX,295,180,-0.573055283
9668666030,0.2774328552,case,3RSYS J210 해머,30500,ATX,ATX,350,162,-0.6409412208
9772929957,0.449288783,case,앱코 NCORE 픽셀 USB3.0,16500,ATX,MATX,350,147,-0.7527533535
9838974987,0.5017465242,case,앱코 NCORE 알리,17500,ATX,MITX,280,145,-0.7447667726
10067400885,0.6301058942,case,앱코 NCORE 알리 USB3.0,21500,ATX,MITX,280,145,-0.7128204489
10805595992,0.3695353921,case,3RSYS L530 강화유리,68000,ATX,ATX,410,162,-0.3414444367
11461543082,0.6168418914,case,3RSYS T1000,210000,ATX,MATX,348,180,0.7926500522
11741124594,0.4465100976,case,3RSYS R360 풀 아크릴 윈도우,28000,ATX,MITX,307,135,-0.660907673
12348017491,0.5541598591,case,써멀테이크 View 71 강화유리 RGB 에디션,300000,ATX,MITX,410,190,1.511442334
12348127255,0.5861392456,case,앱코 NCORE 아레스 풀 아크릴 HALO,71500,ATX,MITX,380,162,-0.3134914035
12824442715,0.4208788596,case,앱코 수트마스터 361G 칼리스토 2면 강화유리 with DOUBLING,85500,ATX,MITX,380,163,-0.2016792708
12979770626,0.5672374919,case,앱코 수트마스터 810S 제로노이즈,96000,ATX,MITX,400,170,-0.1178201713
13459574007,0.3176965542,case,데이븐 크리스탈 3.0 풀 아크릴 윈도우,20530,ATX,MITX,280,140,-0.7205674324
13697688104,0.6802063099,case,프렉탈디자인 Define Mini C,123000,ATX,MATX,315,168,0.0978175132
14209725936,0.7395410904,case,리안리 PC-O11 Dynamic,183860,ATX,MATX,420,150,0.5838808272
14275802240,0.5221870711,case,3RSYS T900,168220,ATX,EATX,348,180,0.4589707018
14296652905,0.5367890937,case,앱코 NCORE 인피니티 풀 아크릴 윈도우 HALO,35500,ATX,MITX,305,150,-0.6010083162
14360888093,0.6601710787,case,커세어 OBSIDIAN Series 1000D,805000,MATX,MATX,400,180,5.544665692
16216657507,0.403310677,case,다얼유 태풍의눈 강화유리 RGB,125000,ATX,MITX,340,160,0.113790675
16326651856,0.5840395498,case,3RSYS R400 강화유리,41560,ATX,MATX,330,165,-0.5526096359
16496413011,0.5276695134,case,잘만테크 S3 풀 아크릴,34350,ATX,MITX,330,150,-0.6101928843
16669944602,0.692504592,case,3RSYS IR5000 강화유리,218000,ATX,MATX,348,180,0.8565426994
16775325444,0.5880151817,case,한미마이크로닉스 마이크로닉스 BOHEMIAN GUSTO,29000,ATX,MITX,315,136,-0.6529210921
17163379185,0.4697567622,case,3RSYS J700 RGB,49000,ATX,ATX,371,162,-0.493189474
17181839604,0.4288114029,case,3RSYS J230 RGB,37000,ATX,ATX,331,152,-0.5890284449
17452832415,0.7275566061,case,프렉탈디자인 Meshify S2 Black,205000,ATX,MATX,440,185,0.7527171476
18363889131,0.5833733473,case,쿠거 PANZER EVO RGB 게이밍 케이스,284680,ATX,MITX,390,170,1.389087914
18903301368,0.7882462956,case,커세어 CRYSTAL SERIES 680X RGB,411510,ATX,MITX,330,180,2.402025971
18903325077,0.6439500783,case,브라보텍 SWORD S810 RGB 타이탄 글래스,58890,ATX,MITX,380,160,-0.4142021888
18903491664,0.7261678708,case,앱코 수트마스터 830G 시리우스 강화유리 DOUBLING,164000,ATX,MITX,400,170,0.4252673304
18968733356,0.7309840968,case,써멀테이크 Versa H17,37770,ATX,MITX,350,155,-0.5828787776
18969536743,0.6933506062,case,브라보텍 SWORD S820 RGB 타이탄 글래스,58890,ATX,MITX,380,160,-0.4142021888
19895887413,0.531776963,case,브라보텍 SWORD S830 RGB 타이탄 글래스,68000,ATX,MITX,380,160,-0.3414444367
20154668602,0.6371825262,case,다크플래쉬 DLM22 RGB 강화유리,38500,ATX,MITX,350,160,-0.5770485735
20154668603,0.7110678988,case,다크플래쉬 DLM21 RGB 강화유리,39430,ATX,MITX,350,160,-0.5696210533
20311644698,0.6412863599,case,다크플래쉬 G-CLASS 500 RGB,41290,ATX,MITX,330,162,-0.5547660128
20311698331,0.6043360636,case,앱코 NCORE 아레스 풀 아크릴 HALO,71500,ATX,MITX,380,162,-0.3134914035
20448102951,0.635081449,case,다크플래쉬 Water Square 5 RGB 강화유리,29500,ATX,MITX,340,157,-0.6489278017
20632500752,0.6287888245,case,NZXT H510 Matte,108000,ATX,MITX,368,165,-0.02198120041
20776827566,0.581535352,case,다크플래쉬 DLM21 RGB MESH 강화유리,48980,ATX,MITX,350,160,-0.4933492056
20795120038,0.6995287752,case,3RSYS S350 에스프레소 CT,48500,ATX,MATX,330,163,-0.4971827644
20915054525,0.7053245366,case,앱코 수트마스터 레베카 미니 강화유리 스펙트럼 HALO,45000,ATX,MITX,340,158,-0.5251357976
21233267102,0.6505842351,case,대양케이스 ME NO.8 RGB 강화유리,81500,ATX,MITX,387,188,-0.2336255945
21233267103,0.7665816657,case,대양케이스 OVERTAKE RGB 4F,105000,ATX,MITX,380,180,-0.04594094314
21335440864,0.3755185598,case,앱코 NCORE 식스팬 풀 아크릴 LUNAR RGB,33000,ATX,MITX,280,160,-0.6209747685
21335527137,0.6634670353,case,다크플래쉬 POLLUX RGB 강화유리,39490,ATX,MITX,310,162,-0.5691418584
21335540504,0.6291585662,case,앱코 NCORE 타비,14900,ATX,MITX,273,156,-0.7655318829
21377129229,0.6869740209,case,리안리 PC-O11D XL ROG,298890,ATX,MITX,446,167,1.502577229
21482320839,0.6511924332,case,앱코 NCORE 사일런티,33490,ATX,MATX,390,160,-0.6170613438
21496805776,0.2117387551,case,리안리 TU150 강화유리,155150,MATX,MITX,320,165,0.3545860894
21615113042,0.6545649364,case,3RSYS R410,43000,ATX,MATX,330,160,-0.5411089594
21761147784,0.4636227197,case,잘만테크 M3 PLUS,55300,ATX,MITX,330,165,-0.4428740142
21761821770,0.6703460392,case,브라보텍 GUARDIAN 1140M 타이탄 글래스,107990,ATX,MITX,455,175,-0.02206106622
21775521240,0.5063223731,case,쿠거 CONQUER 2,486790,ATX,ATX,400,135,3.003255782
21856976652,0.4178079569,case,한미마이크로닉스 마이크로닉스 Master M60 메쉬,32500,ATX,MITX,325,175,-0.6249680589
21856976652,0.4178079569,case,한미마이크로닉스 마이크로닉스 Master M60 메쉬,32500,ATX,MITX,325,175,-0.6249680589
21894954575,0.6418511232,case,브라보텍 GUARDIAN 1200M 타이탄 글래스,116490,ATX,MITX,455,178,0.04582487149
21918480531,0.2695935115,case,앱코 수트마스터 Q201 Xcube 강화유리,84000,ATX,MITX,280,145,-0.2136591422
22021585360,0.2167307172,case,시그마텍 ZEUS ARCTIC RGB 강화유리,173900,ATX,MITX,320,160,0.5043344814
22040547740,0.5684879475,case,데이븐 FT903 MESH 강화유리,41090,ATX,MITX,360,160,-0.5563633289
22207501596,0.7694099396,case,써멀테이크 Level 20 HT,253990,ATX,MITX,400,260,1.143979746
22434016995,0.6656791251,case,한미마이크로닉스 마이크로닉스 루키 III,23000,ATX,MITX,315,158,-0.7008405776
22434016999,0.6163134888,case,앱코 수트마스터 ONE ORIGIN 강화유리 LUNAR,113000,ATX,MITX,310,165,0.01795170413
22446727877,0.7426608872,case,대양케이스 FREEZER X MINI 강화유리,55000,ATX,MITX,340,185,-0.4452699885
22611482127,0.7063651031,case,다크플래쉬 DLV22 RGB 강화유리,60500,ATX,MITX,320,165,-0.4013437935
22789982805,0.7291440238,case,3RSYS T800 풍통,109000,ATX,ATX,380,180,-0.01399461951
22895594426,0.7006989538,case,3RSYS R480,47000,ATX,MATX,340,185,-0.5091626358