product_id,score,element_name,name,price,SATA_terminal,M.2_terminal,price_stc
5228895962,0.3818675745,ssdhdd,씨게이트 바라쿠다 7200.12 SATA2,58490,SATA,,-0.1088385894
5466643061,0.338388329,ssdhdd,씨게이트 스핀포인트 F3 SATA2,35790,SATA,,-0.6680535433
5717578437,0.3292485985,ssdhdd,씨게이트 바라쿠다 그린 SATA3,173700,SATA,,2.729362064
5732893409,0.3711141848,ssdhdd,씨게이트 바라쿠다 7200.12 SATA3,58000,SATA,,-0.1209097492
5835822131,0.4776211685,ssdhdd,씨게이트 스핀포인트 F3 SATA3,59000,SATA,,-0.09627472922
8934603799,0.250364029,ssdhdd,WD SATA3,57900,SATA,,-0.1233732512
9293626689,0.6839920976,ssdhdd,WD SATA3,83490,SATA,,0.5070369104
10651316880,0.3943802415,ssdhdd,도시바 Desktop HDD 시리즈,29000,SATA,,-0.835325329
11809988309,0.6417026771,ssdhdd,마샬 SATA3,22900,SATA,,-0.985598951
18363889215,0.6067818366,ssdhdd,TEAMGROUP DELTA R RGB BLACK,67000,SATA,,0.1008054307
18463289781,0.703869632,ssdhdd,리뷰안 NX580 M.2 2280,54900,SATA,M.2,-0.1972783112
18463315478,0.744433372,ssdhdd,TEAMGROUP DELTA RGB WHITE,65990,SATA,,0.07592406053
18992632505,0.6251028214,ssdhdd,ADATA Ultimate SSD SU750,45100,SATA,,-0.4387015071
19453000738,0.833380783,ssdhdd,TEAMGROUP MS30 M.2 2280,41610,SATA,M.2,-0.5246777269
19551466859,0.5986801982,ssdhdd,씨게이트 510 M.2 NVMe,149000,,M.2,2.12087707
19718293675,0.7766667604,ssdhdd,명정보기술 MyStor S900 NVME M.2 2280,56940,,M.2,-0.1470228704
19970318430,0.6939591607,ssdhdd,마이크론 1300 SSD,54130,SATA,,-0.2162472766
20155162621,0.7009177669,ssdhdd,커세어 Force Series MP600 NVME M.2 2280,217570,,M.2,3.810100391
20236884168,0.7084600029,ssdhdd,에센코어 클레브 NEO N400,22000,SATA,,-1.007770469
20254345652,0.7158695246,ssdhdd,패트리어트 VIPER VPN100 NVME M.2 2280,82000,,M.2,0.4703307306
20347563715,0.7046533451,ssdhdd,리뷰안 NX1142 M.2 2242,89000,,M.2,0.6427758706
20382317885,0.6711707182,ssdhdd,리뷰안 970X Pro,106800,SATA,,1.081279226
20427817983,0.9212251306,ssdhdd,에센코어 클레브 CRAS C700 M.2 2280,70770,,M.2,0.1936794561
20448102919,0.8117500207,ssdhdd,실리콘파워 P34 A80 NVME M.2 2280,68800,,M.2,0.1451484667
20456157855,0.5574436509,ssdhdd,갤럭시 GALAX GAMER V200T PLUS,22000,SATA,,-1.007770469
20663866962,0.6985692827,ssdhdd,렉사 NM610 NVME M.2 2280,49820,,M.2,-0.3224242128
20710853273,0.8070636719,ssdhdd,TEAMGROUP GX1,19500,SATA,,-1.069358019
20710853275,0.743804896,ssdhdd,EXPC3M NVME M.2 2280,97410,,M.2,0.8499563887
20754167302,0.6854135776,ssdhdd,마이크론 2200 NVME M.2 2280,57160,,M.2,-0.141603166
20754168227,0.7358043613,ssdhdd,TEAMGROUP GX2,22000,SATA,,-1.007770469
20759882726,0.7445753373,ssdhdd,HP EX950 NVME M.2 2280,105500,,M.2,1.049253701
20759882726,0.7445753373,ssdhdd,HP EX950 NVME M.2 2280,105500,,M.2,1.049253701
20803861320,0.7765110912,ssdhdd,ADATA XPG SPECTRIX S40G M.2 2280,75000,,M.2,0.2978855907
20952261216,0.6277237652,ssdhdd,타무즈 GK300,18760,SATA,,-1.087587934
20982890832,0.3421018422,ssdhdd,실리콘파워 A55 M.2 2280 (벌크),54490,SATA,M.2,-0.2073786694
21034066742,0.5561931424,ssdhdd,파이슨 S5013 NVME M.2 2280 (벌크),33250,,M.2,-0.7306264941
21034067866,0.7821404226,ssdhdd,이스타 ST983 NVME M.2 2280,37130,,M.2,-0.6350426165
21124467561,0.7298247148,ssdhdd,기가바이트 GP-GSM2NE3 M.2 2280,30150,,M.2,-0.8069950561
21124467563,0.5444696005,ssdhdd,이코모 E5013 NVME M.2 2280,33440,,M.2,-0.7259458403
21134600869,0.6971868594,ssdhdd,타무즈 GKM330 M.2 2280,28940,SATA,M.2,-0.8368034302
21183698698,0.6708596032,ssdhdd,버바팀 Vi550 S3 SSD,21050,SATA,,-1.031173738
21451414348,0.7150571618,ssdhdd,씨게이트 바라쿠다 510 M.2 NVME SSD,76990,,M.2,0.3469092805
21568165141,0.6733789502,ssdhdd,글로웨이 VAL NVME M.2 2280,49020,,M.2,-0.3421322288
21730070962,0.6795150972,ssdhdd,리뷰안 NX2200A M.2 2280,109000,,M.2,1.13547627
22865242426,0.7322106738,ssdhdd,씨게이트 바라쿠다 Q1 SSD,38890,SATA,,-0.5916849813
22865242426,0.7322106738,ssdhdd,씨게이트 바라쿠다 Q1 SSD,38890,SATA,,-0.5916849813